Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,Low CI,High CI,Confidence Interval
Symptoms of Depressive Disorder,By State,North Dakota,North Dakota,1,10,"July 2 - July 7, 2020",7/2/2020,7/7/2020,23,17.3,29.6,17.3 - 29.6
Symptoms of Depressive Disorder,By State,Ohio,Ohio,1,10,"July 2 - July 7, 2020",7/2/2020,7/7/2020,25.6,21.1,30.5,21.1 - 30.5
Symptoms of Depressive Disorder,By State,Oklahoma,Oklahoma,1,10,"July 2 - July 7, 2020",7/2/2020,7/7/2020,29.4,25.7,33.4,25.7 - 33.4
Symptoms of Depressive Disorder,By State,Oregon,Oregon,1,10,"July 2 - July 7, 2020",7/2/2020,7/7/2020,29.9,25.8,34.4,25.8 - 34.4
Symptoms of Depressive Disorder,By State,Pennsylvania,Pennsylvania,1,10,"July 2 - July 7, 2020",7/2/2020,7/7/2020,26,21.9,30.3,21.9 - 30.3
Symptoms of Depressive Disorder,By State,Rhode Island,Rhode Island,1,10,"July 2 - July 7, 2020",7/2/2020,7/7/2020,22.8,18.2,27.9,18.2 - 27.9
Symptoms of Depressive Disorder,By State,South Carolina,South Carolina,1,10,"July 2 - July 7, 2020",7/2/2020,7/7/2020,29.3,24.7,34.4,24.7 - 34.4
Symptoms of Depressive Disorder,By State,South Dakota,South Dakota,1,10,"July 2 - July 7, 2020",7/2/2020,7/7/2020,26.7,19.9,34.4,19.9 - 34.4
Symptoms of Depressive Disorder,By State,Tennessee,Tennessee,1,10,"July 2 - July 7, 2020",7/2/2020,7/7/2020,31.7,27.9,35.7,27.9 - 35.7
Symptoms of Depressive Disorder,By State,Texas,Texas,1,10,"July 2 - July 7, 2020",7/2/2020,7/7/2020,30.5,27.8,33.2,27.8 - 33.2
Symptoms of Depressive Disorder,By State,Utah,Utah,1,10,"July 2 - July 7, 2020",7/2/2020,7/7/2020,25,21.5,28.9,21.5 - 28.9
Symptoms of Depressive Disorder,By State,Vermont,Vermont,1,10,"July 2 - July 7, 2020",7/2/2020,7/7/2020,22.2,16,29.4,16.0 - 29.4
Symptoms of Depressive Disorder,By State,Virginia,Virginia,1,10,"July 2 - July 7, 2020",7/2/2020,7/7/2020,29.5,25.2,34.1,25.2 - 34.1
Symptoms of Depressive Disorder,By State,Washington,Washington,1,10,"July 2 - July 7, 2020",7/2/2020,7/7/2020,27.8,24.5,31.3,24.5 - 31.3
Symptoms of Depressive Disorder,By State,West Virginia,West Virginia,1,10,"July 2 - July 7, 2020",7/2/2020,7/7/2020,24.2,19.3,29.7,19.3 - 29.7
Symptoms of Depressive Disorder,By State,Wisconsin,Wisconsin,1,10,"July 2 - July 7, 2020",7/2/2020,7/7/2020,24.6,20.7,28.8,20.7 - 28.8
Symptoms of Depressive Disorder,By State,Wyoming,Wyoming,1,10,"July 2 - July 7, 2020",7/2/2020,7/7/2020,26.5,20.7,32.9,20.7 - 32.9
Symptoms of Depressive Disorder,National Estimate,United States,United States,1,11,"July 9 - July 14, 2020",7/9/2020,7/14/2020,28.1,27.3,28.9,27.3 - 28.9
Symptoms of Depressive Disorder,By Age,United States,18 - 29 years,1,11,"July 9 - July 14, 2020",7/9/2020,7/14/2020,39,36.6,41.5,36.6 - 41.5
Symptoms of Depressive Disorder,By Age,United States,30 - 39 years,1,11,"July 9 - July 14, 2020",7/9/2020,7/14/2020,32.3,30.6,33.9,30.6 - 33.9
Symptoms of Depressive Disorder,By Age,United States,40 - 49 years,1,11,"July 9 - July 14, 2020",7/9/2020,7/14/2020,28.5,27,30.1,27.0 - 30.1
Symptoms of Depressive Disorder,By Age,United States,50 - 59 years,1,11,"July 9 - July 14, 2020",7/9/2020,7/14/2020,29.2,27.1,31.3,27.1 - 31.3
Symptoms of Depressive Disorder,By Age,United States,60 - 69 years,1,11,"July 9 - July 14, 2020",7/9/2020,7/14/2020,21.7,19.9,23.6,19.9 - 23.6
Symptoms of Depressive Disorder,By Age,United States,70 - 79 years,1,11,"July 9 - July 14, 2020",7/9/2020,7/14/2020,13.9,12.1,15.8,12.1 - 15.8
Symptoms of Depressive Disorder,By Age,United States,80 years and above,1,11,"July 9 - July 14, 2020",7/9/2020,7/14/2020,12,9.2,15.2,9.2 - 15.2
Symptoms of Depressive Disorder,By Sex,United States,Male,1,11,"July 9 - July 14, 2020",7/9/2020,7/14/2020,26,24.6,27.4,24.6 - 27.4
Symptoms of Depressive Disorder,By Sex,United States,Female,1,11,"July 9 - July 14, 2020",7/9/2020,7/14/2020,30,29,31.1,29.0 - 31.1
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,1,11,"July 9 - July 14, 2020",7/9/2020,7/14/2020,31,28.5,33.6,28.5 - 33.6
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",1,11,"July 9 - July 14, 2020",7/9/2020,7/14/2020,26.6,25.8,27.4,25.8 - 27.4
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",1,11,"July 9 - July 14, 2020",7/9/2020,7/14/2020,30,28,32,28.0 - 32.0
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",1,11,"July 9 - July 14, 2020",7/9/2020,7/14/2020,26.4,22.2,30.9,22.2 - 30.9
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",1,11,"July 9 - July 14, 2020",7/9/2020,7/14/2020,36.1,32.3,40,32.3 - 40.0
Symptoms of Depressive Disorder,By Education,United States,Less than a high school diploma,1,11,"July 9 - July 14, 2020",7/9/2020,7/14/2020,34.9,30.1,39.9,30.1 - 39.9
Symptoms of Depressive Disorder,By Education,United States,High school diploma or GED,1,11,"July 9 - July 14, 2020",7/9/2020,7/14/2020,28.6,27.1,30.1,27.1 - 30.1
Symptoms of Depressive Disorder,By Education,United States,Some college/Associate's degree,1,11,"July 9 - July 14, 2020",7/9/2020,7/14/2020,32.3,31,33.6,31.0 - 33.6
Symptoms of Depressive Disorder,By Education,United States,Bachelor's degree or higher,1,11,"July 9 - July 14, 2020",7/9/2020,7/14/2020,21.6,20.6,22.6,20.6 - 22.6
Symptoms of Depressive Disorder,By State,Alabama,Alabama,1,11,"July 9 - July 14, 2020",7/9/2020,7/14/2020,30.4,26,35.1,26.0 - 35.1
Symptoms of Depressive Disorder,By State,Alaska,Alaska,1,11,"July 9 - July 14, 2020",7/9/2020,7/14/2020,27.4,22.6,32.5,22.6 - 32.5
Symptoms of Depressive Disorder,By State,Arizona,Arizona,1,11,"July 9 - July 14, 2020",7/9/2020,7/14/2020,33.9,29.5,38.6,29.5 - 38.6
Symptoms of Depressive Disorder,By State,Arkansas,Arkansas,1,11,"July 9 - July 14, 2020",7/9/2020,7/14/2020,34.8,30.7,39.1,30.7 - 39.1
Symptoms of Depressive Disorder,By State,California,California,1,11,"July 9 - July 14, 2020",7/9/2020,7/14/2020,31.8,29,34.7,29.0 - 34.7
Symptoms of Depressive Disorder,By State,Colorado,Colorado,1,11,"July 9 - July 14, 2020",7/9/2020,7/14/2020,26.1,21.3,31.5,21.3 - 31.5
Symptoms of Depressive Disorder,By State,Connecticut,Connecticut,1,11,"July 9 - July 14, 2020",7/9/2020,7/14/2020,26.7,22.6,31.1,22.6 - 31.1
Symptoms of Depressive Disorder,By State,Delaware,Delaware,1,11,"July 9 - July 14, 2020",7/9/2020,7/14/2020,23.3,19.7,27.2,19.7 - 27.2
Symptoms of Depressive Disorder,By State,District of Columbia,District of Columbia,1,11,"July 9 - July 14, 2020",7/9/2020,7/14/2020,20.8,14.6,28.1,14.6 - 28.1
Symptoms of Depressive Disorder,By State,Florida,Florida,1,11,"July 9 - July 14, 2020",7/9/2020,7/14/2020,31.7,27.8,35.9,27.8 - 35.9
Symptoms of Depressive Disorder,By State,Georgia,Georgia,1,11,"July 9 - July 14, 2020",7/9/2020,7/14/2020,29,24.5,33.8,24.5 - 33.8
Symptoms of Depressive Disorder,By State,Hawaii,Hawaii,1,11,"July 9 - July 14, 2020",7/9/2020,7/14/2020,28.3,23.7,33.2,23.7 - 33.2
Symptoms of Depressive Disorder,By State,Idaho,Idaho,1,11,"July 9 - July 14, 2020",7/9/2020,7/14/2020,27.5,24.2,31,24.2 - 31.0
Symptoms of Depressive Disorder,By State,Illinois,Illinois,1,11,"July 9 - July 14, 2020",7/9/2020,7/14/2020,23.7,19.5,28.3,19.5 - 28.3
Symptoms of Depressive Disorder,By State,Indiana,Indiana,1,11,"July 9 - July 14, 2020",7/9/2020,7/14/2020,29.4,25.8,33.3,25.8 - 33.3
Symptoms of Depressive Disorder,By State,Iowa,Iowa,1,11,"July 9 - July 14, 2020",7/9/2020,7/14/2020,17.7,14.2,21.8,14.2 - 21.8
Symptoms of Depressive Disorder,By State,Kansas,Kansas,1,11,"July 9 - July 14, 2020",7/9/2020,7/14/2020,24.8,20.5,29.5,20.5 - 29.5
Symptoms of Depressive Disorder,By State,Kentucky,Kentucky,1,11,"July 9 - July 14, 2020",7/9/2020,7/14/2020,30.7,26.3,35.3,26.3 - 35.3
Symptoms of Depressive Disorder,By State,Louisiana,Louisiana,1,11,"July 9 - July 14, 2020",7/9/2020,7/14/2020,31.1,26.6,35.8,26.6 - 35.8
Symptoms of Depressive Disorder,By State,Maine,Maine,1,11,"July 9 - July 14, 2020",7/9/2020,7/14/2020,22.4,17.7,27.8,17.7 - 27.8
Symptoms of Depressive Disorder,By State,Maryland,Maryland,1,11,"July 9 - July 14, 2020",7/9/2020,7/14/2020,22.2,18.7,25.9,18.7 - 25.9
Symptoms of Depressive Disorder,By State,Massachusetts,Massachusetts,1,11,"July 9 - July 14, 2020",7/9/2020,7/14/2020,23.8,20,27.9,20.0 - 27.9
Symptoms of Depressive Disorder,By State,Michigan,Michigan,1,11,"July 9 - July 14, 2020",7/9/2020,7/14/2020,23,20,26.2,20.0 - 26.2
Symptoms of Depressive Disorder,By State,Minnesota,Minnesota,1,11,"July 9 - July 14, 2020",7/9/2020,7/14/2020,22,18.2,26.2,18.2 - 26.2
Symptoms of Depressive Disorder,By State,Mississippi,Mississippi,1,11,"July 9 - July 14, 2020",7/9/2020,7/14/2020,36.1,30.5,42.1,30.5 - 42.1
Symptoms of Depressive Disorder,By State,Missouri,Missouri,1,11,"July 9 - July 14, 2020",7/9/2020,7/14/2020,25.8,21.8,30.2,21.8 - 30.2
Symptoms of Depressive Disorder,By State,Montana,Montana,1,11,"July 9 - July 14, 2020",7/9/2020,7/14/2020,28.5,24.9,32.3,24.9 - 32.3
Symptoms of Depressive Disorder,By State,Nebraska,Nebraska,1,11,"July 9 - July 14, 2020",7/9/2020,7/14/2020,26.4,22.6,30.4,22.6 - 30.4
Symptoms of Depressive Disorder,By State,Nevada,Nevada,1,11,"July 9 - July 14, 2020",7/9/2020,7/14/2020,33.3,28.9,37.9,28.9 - 37.9
Symptoms of Depressive Disorder,By State,New Hampshire,New Hampshire,1,11,"July 9 - July 14, 2020",7/9/2020,7/14/2020,28.7,23,35.1,23.0 - 35.1
Symptoms of Depressive Disorder,By State,New Jersey,New Jersey,1,11,"July 9 - July 14, 2020",7/9/2020,7/14/2020,28.7,25.5,32,25.5 - 32.0
Symptoms of Depressive Disorder,By State,New Mexico,New Mexico,1,11,"July 9 - July 14, 2020",7/9/2020,7/14/2020,30.1,25.6,34.9,25.6 - 34.9
Symptoms of Depressive Disorder,By State,New York,New York,1,11,"July 9 - July 14, 2020",7/9/2020,7/14/2020,25,21.1,29.1,21.1 - 29.1
Symptoms of Depressive Disorder,By State,North Carolina,North Carolina,1,11,"July 9 - July 14, 2020",7/9/2020,7/14/2020,26.4,21.3,32.1,21.3 - 32.1
Symptoms of Depressive Disorder,By State,North Dakota,North Dakota,1,11,"July 9 - July 14, 2020",7/9/2020,7/14/2020,25.2,19.8,31.1,19.8 - 31.1
Symptoms of Depressive Disorder,By State,Ohio,Ohio,1,11,"July 9 - July 14, 2020",7/9/2020,7/14/2020,21.2,17.8,25,17.8 - 25.0
Symptoms of Depressive Disorder,By State,Oklahoma,Oklahoma,1,11,"July 9 - July 14, 2020",7/9/2020,7/14/2020,30.8,26.9,35,26.9 - 35.0
Symptoms of Depressive Disorder,By State,Oregon,Oregon,1,11,"July 9 - July 14, 2020",7/9/2020,7/14/2020,31.7,27.9,35.5,27.9 - 35.5
Symptoms of Depressive Disorder,By State,Pennsylvania,Pennsylvania,1,11,"July 9 - July 14, 2020",7/9/2020,7/14/2020,27.5,23.3,32.1,23.3 - 32.1
Symptoms of Depressive Disorder,By State,Rhode Island,Rhode Island,1,11,"July 9 - July 14, 2020",7/9/2020,7/14/2020,31.1,25.3,37.4,25.3 - 37.4
Symptoms of Depressive Disorder,By State,South Carolina,South Carolina,1,11,"July 9 - July 14, 2020",7/9/2020,7/14/2020,25.3,20.5,30.7,20.5 - 30.7
Symptoms of Depressive Disorder,By State,South Dakota,South Dakota,1,11,"July 9 - July 14, 2020",7/9/2020,7/14/2020,24.1,18.9,30.1,18.9 - 30.1
Symptoms of Depressive Disorder,By State,Tennessee,Tennessee,1,11,"July 9 - July 14, 2020",7/9/2020,7/14/2020,31.4,26.9,36.1,26.9 - 36.1
Symptoms of Depressive Disorder,By State,Texas,Texas,1,11,"July 9 - July 14, 2020",7/9/2020,7/14/2020,32.2,29,35.5,29.0 - 35.5
Symptoms of Depressive Disorder,By State,Utah,Utah,1,11,"July 9 - July 14, 2020",7/9/2020,7/14/2020,24.2,20.8,27.9,20.8 - 27.9
Symptoms of Depressive Disorder,By State,Vermont,Vermont,1,11,"July 9 - July 14, 2020",7/9/2020,7/14/2020,20.7,15.2,27.1,15.2 - 27.1
Symptoms of Depressive Disorder,By State,Virginia,Virginia,1,11,"July 9 - July 14, 2020",7/9/2020,7/14/2020,24,19.9,28.5,19.9 - 28.5
Symptoms of Depressive Disorder,By State,Washington,Washington,1,11,"July 9 - July 14, 2020",7/9/2020,7/14/2020,27.2,23.7,30.9,23.7 - 30.9
Symptoms of Depressive Disorder,By State,West Virginia,West Virginia,1,11,"July 9 - July 14, 2020",7/9/2020,7/14/2020,29.4,25.4,33.5,25.4 - 33.5
Symptoms of Depressive Disorder,By State,Wisconsin,Wisconsin,1,11,"July 9 - July 14, 2020",7/9/2020,7/14/2020,24.6,20.5,29,20.5 - 29.0
Symptoms of Depressive Disorder,By State,Wyoming,Wyoming,1,11,"July 9 - July 14, 2020",7/9/2020,7/14/2020,21.7,17.3,26.6,17.3 - 26.6
Symptoms of Depressive Disorder,National Estimate,United States,United States,1,12,"July 16 - July 21, 2020",7/16/2020,7/21/2020,29.6,28.8,30.5,28.8 - 30.5
Symptoms of Depressive Disorder,By Age,United States,18 - 29 years,1,12,"July 16 - July 21, 2020",7/16/2020,7/21/2020,41.7,39.5,43.9,39.5 - 43.9
Symptoms of Depressive Disorder,By Age,United States,30 - 39 years,1,12,"July 16 - July 21, 2020",7/16/2020,7/21/2020,32.8,31,34.6,31.0 - 34.6
Symptoms of Depressive Disorder,By Age,United States,40 - 49 years,1,12,"July 16 - July 21, 2020",7/16/2020,7/21/2020,31,29.5,32.6,29.5 - 32.6
Symptoms of Depressive Disorder,By Age,United States,50 - 59 years,1,12,"July 16 - July 21, 2020",7/16/2020,7/21/2020,28.4,26.8,30.2,26.8 - 30.2
Symptoms of Depressive Disorder,By Age,United States,60 - 69 years,1,12,"July 16 - July 21, 2020",7/16/2020,7/21/2020,23.6,21.8,25.5,21.8 - 25.5
Symptoms of Depressive Disorder,By Age,United States,70 - 79 years,1,12,"July 16 - July 21, 2020",7/16/2020,7/21/2020,16.9,15.1,18.8,15.1 - 18.8
Symptoms of Depressive Disorder,By Age,United States,80 years and above,1,12,"July 16 - July 21, 2020",7/16/2020,7/21/2020,12.6,9.7,15.9,9.7 - 15.9
Symptoms of Depressive Disorder,By Sex,United States,Male,1,12,"July 16 - July 21, 2020",7/16/2020,7/21/2020,27.8,26.6,29,26.6 - 29.0
Symptoms of Depressive Disorder,By Sex,United States,Female,1,12,"July 16 - July 21, 2020",7/16/2020,7/21/2020,31.3,30.2,32.4,30.2 - 32.4
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,1,12,"July 16 - July 21, 2020",7/16/2020,7/21/2020,34.2,31.8,36.7,31.8 - 36.7
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",1,12,"July 16 - July 21, 2020",7/16/2020,7/21/2020,27.7,26.8,28.6,26.8 - 28.6
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",1,12,"July 16 - July 21, 2020",7/16/2020,7/21/2020,32.1,29.7,34.6,29.7 - 34.6
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",1,12,"July 16 - July 21, 2020",7/16/2020,7/21/2020,30.5,26.9,34.2,26.9 - 34.2
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",1,12,"July 16 - July 21, 2020",7/16/2020,7/21/2020,33,29,37.2,29.0 - 37.2
Symptoms of Depressive Disorder,By Education,United States,Less than a high school diploma,1,12,"July 16 - July 21, 2020",7/16/2020,7/21/2020,38.4,34.1,42.8,34.1 - 42.8
Symptoms of Depressive Disorder,By Education,United States,High school diploma or GED,1,12,"July 16 - July 21, 2020",7/16/2020,7/21/2020,31.4,29.6,33.2,29.6 - 33.2
Symptoms of Depressive Disorder,By Education,United States,Some college/Associate's degree,1,12,"July 16 - July 21, 2020",7/16/2020,7/21/2020,33,31.6,34.4,31.6 - 34.4
Symptoms of Depressive Disorder,By Education,United States,Bachelor's degree or higher,1,12,"July 16 - July 21, 2020",7/16/2020,7/21/2020,22.2,21.2,23.3,21.2 - 23.3
Symptoms of Depressive Disorder,By State,Alabama,Alabama,1,12,"July 16 - July 21, 2020",7/16/2020,7/21/2020,32.7,27.7,38,27.7 - 38.0
Symptoms of Depressive Disorder,By State,Alaska,Alaska,1,12,"July 16 - July 21, 2020",7/16/2020,7/21/2020,27.4,22.9,32.2,22.9 - 32.2
Symptoms of Depressive Disorder,By State,Arizona,Arizona,1,12,"July 16 - July 21, 2020",7/16/2020,7/21/2020,34.3,29.9,38.9,29.9 - 38.9
Symptoms of Depressive Disorder,By State,Arkansas,Arkansas,1,12,"July 16 - July 21, 2020",7/16/2020,7/21/2020,33.7,29.8,37.8,29.8 - 37.8
Symptoms of Depressive Disorder,By State,California,California,1,12,"July 16 - July 21, 2020",7/16/2020,7/21/2020,31.2,28.2,34.3,28.2 - 34.3
Symptoms of Depressive Disorder,By State,Colorado,Colorado,1,12,"July 16 - July 21, 2020",7/16/2020,7/21/2020,29.1,24.3,34.4,24.3 - 34.4
Symptoms of Depressive Disorder,By State,Connecticut,Connecticut,1,12,"July 16 - July 21, 2020",7/16/2020,7/21/2020,25.9,21.9,30.3,21.9 - 30.3
Symptoms of Depressive Disorder,By State,Delaware,Delaware,1,12,"July 16 - July 21, 2020",7/16/2020,7/21/2020,26.5,21.2,32.3,21.2 - 32.3
Symptoms of Depressive Disorder,By State,District of Columbia,District of Columbia,1,12,"July 16 - July 21, 2020",7/16/2020,7/21/2020,23.8,17.7,30.8,17.7 - 30.8
Symptoms of Depressive Disorder,By State,Florida,Florida,1,12,"July 16 - July 21, 2020",7/16/2020,7/21/2020,30.7,27.1,34.4,27.1 - 34.4
Symptoms of Depressive Disorder,By State,Georgia,Georgia,1,12,"July 16 - July 21, 2020",7/16/2020,7/21/2020,29.7,25.3,34.4,25.3 - 34.4
Symptoms of Depressive Disorder,By State,Hawaii,Hawaii,1,12,"July 16 - July 21, 2020",7/16/2020,7/21/2020,29.3,24.8,34.1,24.8 - 34.1
Symptoms of Depressive Disorder,By State,Idaho,Idaho,1,12,"July 16 - July 21, 2020",7/16/2020,7/21/2020,34.2,29.8,38.9,29.8 - 38.9
Symptoms of Depressive Disorder,By State,Illinois,Illinois,1,12,"July 16 - July 21, 2020",7/16/2020,7/21/2020,29.5,25.6,33.7,25.6 - 33.7
Symptoms of Depressive Disorder,By State,Indiana,Indiana,1,12,"July 16 - July 21, 2020",7/16/2020,7/21/2020,32,28.2,36.1,28.2 - 36.1
Symptoms of Depressive Disorder,By State,Iowa,Iowa,1,12,"July 16 - July 21, 2020",7/16/2020,7/21/2020,25.3,20.4,30.7,20.4 - 30.7
Symptoms of Depressive Disorder,By State,Kansas,Kansas,1,12,"July 16 - July 21, 2020",7/16/2020,7/21/2020,30.5,26.6,34.5,26.6 - 34.5
Symptoms of Depressive Disorder,By State,Kentucky,Kentucky,1,12,"July 16 - July 21, 2020",7/16/2020,7/21/2020,30.6,25.9,35.6,25.9 - 35.6
Symptoms of Depressive Disorder,By State,Louisiana,Louisiana,1,12,"July 16 - July 21, 2020",7/16/2020,7/21/2020,31.7,26.7,37.1,26.7 - 37.1
Symptoms of Depressive Disorder,By State,Maine,Maine,1,12,"July 16 - July 21, 2020",7/16/2020,7/21/2020,25.3,20.6,30.4,20.6 - 30.4
Symptoms of Depressive Disorder,By State,Maryland,Maryland,1,12,"July 16 - July 21, 2020",7/16/2020,7/21/2020,29.5,25.6,33.7,25.6 - 33.7
Symptoms of Depressive Disorder,By State,Massachusetts,Massachusetts,1,12,"July 16 - July 21, 2020",7/16/2020,7/21/2020,23.7,19.8,28,19.8 - 28.0
Symptoms of Depressive Disorder,By State,Michigan,Michigan,1,12,"July 16 - July 21, 2020",7/16/2020,7/21/2020,28.6,24.9,32.5,24.9 - 32.5
Symptoms of Depressive Disorder,By State,Minnesota,Minnesota,1,12,"July 16 - July 21, 2020",7/16/2020,7/21/2020,24.2,20.8,27.9,20.8 - 27.9
Symptoms of Depressive Disorder,By State,Mississippi,Mississippi,1,12,"July 16 - July 21, 2020",7/16/2020,7/21/2020,36.5,30.4,42.9,30.4 - 42.9
Symptoms of Depressive Disorder,By State,Missouri,Missouri,1,12,"July 16 - July 21, 2020",7/16/2020,7/21/2020,24.8,21.1,28.9,21.1 - 28.9
Symptoms of Depressive Disorder,By State,Montana,Montana,1,12,"July 16 - July 21, 2020",7/16/2020,7/21/2020,28.4,22.8,34.5,22.8 - 34.5
Symptoms of Depressive Disorder,By State,Nebraska,Nebraska,1,12,"July 16 - July 21, 2020",7/16/2020,7/21/2020,25.2,20.8,30,20.8 - 30.0
Symptoms of Depressive Disorder,By State,Nevada,Nevada,1,12,"July 16 - July 21, 2020",7/16/2020,7/21/2020,38.6,34,43.3,34.0 - 43.3
Symptoms of Depressive Disorder,By State,New Hampshire,New Hampshire,1,12,"July 16 - July 21, 2020",7/16/2020,7/21/2020,28.8,23.6,34.3,23.6 - 34.3
Symptoms of Depressive Disorder,By State,New Jersey,New Jersey,1,12,"July 16 - July 21, 2020",7/16/2020,7/21/2020,26.8,22,32,22.0 - 32.0
Symptoms of Depressive Disorder,By State,New Mexico,New Mexico,1,12,"July 16 - July 21, 2020",7/16/2020,7/21/2020,37.6,32.5,43,32.5 - 43.0
Symptoms of Depressive Disorder,By State,New York,New York,1,12,"July 16 - July 21, 2020",7/16/2020,7/21/2020,29.3,25.1,33.8,25.1 - 33.8
Symptoms of Depressive Disorder,By State,North Carolina,North Carolina,1,12,"July 16 - July 21, 2020",7/16/2020,7/21/2020,30.5,26.2,35.1,26.2 - 35.1
Symptoms of Depressive Disorder,By State,North Dakota,North Dakota,1,12,"July 16 - July 21, 2020",7/16/2020,7/21/2020,26.8,19.4,35.2,19.4 - 35.2
Symptoms of Depressive Disorder,By State,Ohio,Ohio,1,12,"July 16 - July 21, 2020",7/16/2020,7/21/2020,24.9,21,29,21.0 - 29.0
Symptoms of Depressive Disorder,By State,Oklahoma,Oklahoma,1,12,"July 16 - July 21, 2020",7/16/2020,7/21/2020,33.5,28.3,39,28.3 - 39.0
Symptoms of Depressive Disorder,By State,Oregon,Oregon,1,12,"July 16 - July 21, 2020",7/16/2020,7/21/2020,36.4,31.3,41.8,31.3 - 41.8
Symptoms of Depressive Disorder,By State,Pennsylvania,Pennsylvania,1,12,"July 16 - July 21, 2020",7/16/2020,7/21/2020,20.5,17.7,23.6,17.7 - 23.6
Symptoms of Depressive Disorder,By State,Rhode Island,Rhode Island,1,12,"July 16 - July 21, 2020",7/16/2020,7/21/2020,25.9,21.1,31.3,21.1 - 31.3
Symptoms of Depressive Disorder,By State,South Carolina,South Carolina,1,12,"July 16 - July 21, 2020",7/16/2020,7/21/2020,32.3,26.6,38.4,26.6 - 38.4
Symptoms of Depressive Disorder,By State,South Dakota,South Dakota,1,12,"July 16 - July 21, 2020",7/16/2020,7/21/2020,27.6,22.4,33.4,22.4 - 33.4
Symptoms of Depressive Disorder,By State,Tennessee,Tennessee,1,12,"July 16 - July 21, 2020",7/16/2020,7/21/2020,33.7,28.4,39.3,28.4 - 39.3
Symptoms of Depressive Disorder,By State,Texas,Texas,1,12,"July 16 - July 21, 2020",7/16/2020,7/21/2020,32.4,29,35.9,29.0 - 35.9
Symptoms of Depressive Disorder,By State,Utah,Utah,1,12,"July 16 - July 21, 2020",7/16/2020,7/21/2020,28.5,24.8,32.5,24.8 - 32.5
Symptoms of Depressive Disorder,By State,Vermont,Vermont,1,12,"July 16 - July 21, 2020",7/16/2020,7/21/2020,21.4,16.7,26.8,16.7 - 26.8
Symptoms of Depressive Disorder,By State,Virginia,Virginia,1,12,"July 16 - July 21, 2020",7/16/2020,7/21/2020,27,23.4,30.9,23.4 - 30.9
Symptoms of Depressive Disorder,By State,Washington,Washington,1,12,"July 16 - July 21, 2020",7/16/2020,7/21/2020,32.2,27.8,36.9,27.8 - 36.9
Symptoms of Depressive Disorder,By State,West Virginia,West Virginia,1,12,"July 16 - July 21, 2020",7/16/2020,7/21/2020,28,22.8,33.7,22.8 - 33.7
Symptoms of Depressive Disorder,By State,Wisconsin,Wisconsin,1,12,"July 16 - July 21, 2020",7/16/2020,7/21/2020,23.9,20.1,28,20.1 - 28.0
Symptoms of Depressive Disorder,By State,Wyoming,Wyoming,1,12,"July 16 - July 21, 2020",7/16/2020,7/21/2020,31.6,24.4,39.5,24.4 - 39.5
Symptoms of Depressive Disorder,National Estimate,United States,United States,2,13,"Aug 19 - Aug 31, 2020",8/19/2020,8/31/2020,24.5,24,25,24.0 - 25.0
Symptoms of Depressive Disorder,By Age,United States,18 - 29 years,2,13,"Aug 19 - Aug 31, 2020",8/19/2020,8/31/2020,35.4,34,36.7,34.0 - 36.7
Symptoms of Depressive Disorder,By Age,United States,30 - 39 years,2,13,"Aug 19 - Aug 31, 2020",8/19/2020,8/31/2020,27.9,26.5,29.3,26.5 - 29.3
Symptoms of Depressive Disorder,By Age,United States,40 - 49 years,2,13,"Aug 19 - Aug 31, 2020",8/19/2020,8/31/2020,23.8,22.6,25,22.6 - 25.0
Symptoms of Depressive Disorder,By Age,United States,50 - 59 years,2,13,"Aug 19 - Aug 31, 2020",8/19/2020,8/31/2020,23.8,22.7,24.9,22.7 - 24.9
Symptoms of Depressive Disorder,By Age,United States,60 - 69 years,2,13,"Aug 19 - Aug 31, 2020",8/19/2020,8/31/2020,19.7,18.7,20.8,18.7 - 20.8
Symptoms of Depressive Disorder,By Age,United States,70 - 79 years,2,13,"Aug 19 - Aug 31, 2020",8/19/2020,8/31/2020,14.8,13.3,16.5,13.3 - 16.5
Symptoms of Depressive Disorder,By Age,United States,80 years and above,2,13,"Aug 19 - Aug 31, 2020",8/19/2020,8/31/2020,13.8,11,17,11.0 - 17.0
Symptoms of Depressive Disorder,By Sex,United States,Male,2,13,"Aug 19 - Aug 31, 2020",8/19/2020,8/31/2020,22.5,21.6,23.3,21.6 - 23.3
